username,handle,postDate,responding,retweets,likes
Repelita Online,@RepelitaO,2023-09-08T14:10:03.000Z,"PKB Usul Koalisi Pengusung Anies-Muhaimin Bernama PBNU, Bikin Nahdliyin Murka",,
detikcom,@detikcom,2023-09-08T14:10:00.000Z,"Soal sindiran Demokrat terkait penggunaan nama Koalisi Perubahan, jubir Anies menuturkan pihaknya membuka komunikasi dengan partai yang dipimpin AHY itu.",,5
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:08:52.000Z,"“Jangan2 bagi pak Anies yang penting nyapres” - MI. Sulaiman.

PD Bongkar Fakta",,
Pradana Santa,@SantaPradana,2023-09-08T14:08:38.000Z,"Replying to 
@marlina_idha",,
Ade,@adnansaefy,2023-09-08T14:08:33.000Z,"Replying to 
@SeputarAHY
 @NasDem
 and 
@aniesbaswedan",,
Hot Mora,@pikir_santuy,2023-09-08T14:08:25.000Z,"Replying to 
@adearmando61",,1
wak Tres,@triesno86,2023-09-08T14:08:25.000Z,"Replying to 
@msaid_didu
 and 
@Golkar5",,
Jenggo Putra,@jenggo_putra,2023-09-08T14:07:55.000Z,"Replying to 
@jenggo_putra",1,1
Masyitah Syitah,@Masyitahilal,2023-09-08T14:07:54.000Z,"Pasangan ideal ....
Anies - Gus Muhaimin...",,
PASUKAN PRABOWO BALI,@bali_prabowo,2023-09-08T14:07:48.000Z,"Replying to 
@bali_prabowo",,1
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:07:42.000Z,"Iftitah: Tak pernah memaksakan AHY, tapi Anies yang meminta sejak awal.

PD Bongkar Fakta",,
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:07:20.000Z,"Demokrat bahkan fasilitasi Anies buat ketemu bacawapres lain. Maksanya Demokrat agar AHY cawapres dimana?.

PD Bongkar Fakta",,
habibana,@habibana1991,2023-09-08T14:07:02.000Z,"Replying to 
@AprizalRiduan
 and 
@jokowi",,
Sasongko Budiarjo,@sasbudiarjo,2023-09-08T14:06:58.000Z,"Replying to 
@AgusYudhoyono",,
Rhafs,@pangeransky10,2023-09-08T14:06:58.000Z,"Replying to 
@Yom_N_Friends",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:06:46.000Z,"Perjuangan Anies sirna oleh perkataannya, ""Lebih baik minta maaf daripada minta izin.""

PD Bongkar Fakta",,
SOBAT ANIES,@S0BATANIES,2023-09-08T14:06:42.000Z,"Replying to 
@SinagaYusal1
 and 
@ajengcute16__",,1
Cak Khum,@CakKhum,2023-09-08T14:06:35.000Z,"Kumparan: Apakah PKS masih setengah hati dalam mengusung (Anies - Cak Imin)

Habib Aboe Bakar Al Habsyi :
~ Saya rasa PKS lebih kuat dari pada yang lain tapi PKS punya protokol
~ Emang Anies bisa lepas dari PKS dan PKS bisa lepas dari Anies? (ini chemistry yang saling… Show more",16,42
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:06:32.000Z,"Eks Tim 8: Jangan-jangan bagi pak Anies yang penting nyapres.

PD Bongkar Fakta",,
naryoko,@yoko_at,2023-09-08T14:06:19.000Z,"Replying to 
@achokill
 and 
@Tan_Mar3M",,
Wakni Syaiful,@syaiful_wakni,2023-09-08T14:06:09.000Z,"Replying to 
@OposisiCerdas",,
d,@svmmerdoss,2023-09-08T14:06:07.000Z,"Replying to 
@berrielust",,
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:06:07.000Z,"Perjuangan Anies sirna oleh perkataannya, ""Lebih baik minta maaf daripada minta izin.""

PD Bongkar Fakta",,
iinatthala,@putraaudi21,2023-09-08T14:05:59.000Z,"Replying to 
@AgusYudhoyono",,
kangmase27,@kangmase27,2023-09-08T14:05:56.000Z,"Replying to 
@bengkeldodo
 @PaPa_Bowo2024
 and 9 others",,
Ikrar Opu,@Ikrar_opu,2023-09-08T14:05:52.000Z,"Terungkap politikus Nasdem sebut Anies Baswedan pengkhianat. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
m.nurnas,@nurnas_m,2023-09-08T14:05:48.000Z,"Iftitah: Tak pernah memaksakan AHY, tapi Anies yang meminta sejak awal.

PD Bongkar Fakta",,
miftahul jannah,@mjannah579,2023-09-08T14:05:43.000Z,"AMIN (Anies- Muhaimin) Capres/Cawapres Alhamamdulillah...""AMIN""... kan untuk Indonesia yang lebih baik
@aniesbaswedan
@cakimiNOW",,1
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:05:35.000Z,"Terungkap politikus Nasdem sebut Anies Baswedan pengkhianat. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
Demokrat Riau,@DemokratRiau,2023-09-08T14:05:34.000Z,"MI. Sulaiman, eks tim 8: Jangan-jangan bagi pak Anies yang penting nyapres.

PD Bongkar Fakta",,
anggil oktavia,@anggiloktavia,2023-09-08T14:05:32.000Z,"Replying to 
@anggiloktavia",1,1
anggil oktavia,@anggiloktavia,2023-09-08T14:05:30.000Z,"Replying to 
@anggiloktavia",1,1
Dpc demokrat muara enim,@dpcpdmuaraenim,2023-09-08T14:05:23.000Z,"Terungkap dalam dua surat rahasia, Anies meminta AHY jadi cawapres. Simak selengkapnya -> https://youtu.be/aV0YFRu3sVQ?si=NxMTKS2yOGvaWhXv…

PD Bongkar Fakta",,
Demokrat Riau,@DemokratRiau,2023-09-08T14:05:22.000Z,"Iftitah Sulaiman: Tidak pernah memaksakan AHY, tapi Anies yg meminta sejak awal.

PD Bongkar Fakta",,
mister ex,@PakBudi31571035,2023-09-08T14:05:14.000Z,"Replying to 
@didik_lp
 @jansen_jsp
 and 
@aniesbaswedan",,
